ChartDate,ArtistName,Position,LastPosition,PositionChange,WeeksOnChart,DailyMentions,TrackingWeekDailyMentions,DailyMentionsDiff,DailyMentionsMult,AvgFollowers,MaxFollowers,DailyFollowers,TrackingWeekDailyFollowers,DailyFollowersDiff,DailyFollowersMult
2018-09-08T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,83.3125,76.83333333333333,-6.479166666666671,0.9222305576394098,208837.23529411765,209323,51.88235294117647,54.285714285714285,2.4033613445378137,1.0463232912212503
2018-09-15T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,89.04347826086956,102.14285714285714,13.099378881987576,1.1471121651785714,209060.54166666666,209850,58.708333333333336,66.57142857142857,7.863095238095234,1.133934908242928
2018-09-22T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,81.44827586206897,52.333333333333336,-29.114942528735632,0.6425345752187412,209297.3,210423,66.06666666666666,64.5,-1.5666666666666629,0.9762865792129163
2018-09-29T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,75.41666666666667,50.42857142857143,-24.98809523809524,0.6686661404893449,209556.86486486485,210848,65.05405405405405,53.285714285714285,-11.768339768339764,0.8190990563238175
2018-10-06T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,70.27906976744185,43.857142857142854,-26.421926910299,0.6240427342346602,209782.6590909091,211072,59.79545454545455,28.142857142857142,-31.652597402597404,0.47065211489384806
2018-10-13T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,69.62,65.57142857142857,-4.048571428571435,0.9418475807444494,209980.33333333334,211583,61.6078431372549,72.71428571428571,11.106442577030805,1.1802764390288258
2018-10-20T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,67.69642857142857,51.666666666666664,-16.029761904761905,0.7632111140420293,210248.4655172414,213238,82.70689655172414,196.57142857142858,113.86453201970444,2.3767235474552546
2018-10-27T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,65.06349206349206,44.0,-21.063492063492063,0.6762625030495243,210604.36923076923,213588,79.18461538461538,11.857142857142858,-67.32747252747252,0.1497404868300536
2018-11-03T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,62.44927536231884,35.0,-27.449275362318843,0.5604548619169181,210900.22222222222,213718,73.29166666666667,16.714285714285715,-56.577380952380956,0.22805165272476244
2018-11-10T00:00:00.000000000,Stone Temple Pilots,101,101,0,0,68.48684210526316,128.0,59.513157894736835,1.8689721421709893,211169.0,214059,71.11392405063292,44.0,-27.113924050632917,0.6187255250978996
2018-08-25T00:00:00.000000000,PRhyme,101,101,0,0,4.5,4.5,0.0,1.0,6402.0,6419,17.0,17.0,0.0,1.0
